DATASET_EN,DATASET_TC,NAME_EN,NAME_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,Title,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,Latitude,Longitude,LASTUPDATE,NORTHING,EASTING,GeometryEasting,GeometryNorthing
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F, 56 NAM KOK ROAD, KOWLOON CITY, KOWLOON",九龍城南角道56號地下,Kowloon City,九龍城區,2252179525,2252179525,52,52,RL,RL,利得火鍋,利得火鍋,#G,#G,19/12/2025,19/12/2025,22.3185673,114.1796057,11/12/2024,819951.7829175262,836549.4103671482,836549.4104000004,819951.7829
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F, 71 NAM KOK ROAD, KOWLOON CITY, KOWLOON",九龍南角道71號地下,Kowloon City,九龍城區,2252096024,2252096024,52,52,RL,RL,龍城金記海鮮火鍋,龍城金記海鮮火鍋,,,30/6/2025,30/6/2025,22.33044,114.189719,13/5/2024,821266.5575043013,837591.2712789286,837591.2713000001,821266.5574999992
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"LOBBY FLOOR, 75 WATERLOO ROAD, KOWLOON",九龍窩打老道75號大堂,Kowloon City,九龍城區,2252153075,2252153075,52,52,RL,RL,Metropark Hotel Kowloon (Palm Court),九龍維景酒店 (棕櫚閣西餐廳),#F#G#H,#F#G#H,30/6/2025,30/6/2025,22.3195531,114.1758437,25/6/2024,820060.9428631169,836161.8122,836161.8121999996,820060.9429000001
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP NO.11, G/F, SHEK YAM SHOPPING CENTRE, SHEK YAM ESTATE, KWAI CHUNG, NEW TERRITORIES",新界葵涌石蔭邨 石蔭商場地下11號鋪,Kwai Tsing,葵青區,2291002107,2291002107,91,91,RL,RL,Deluxe Restaurant,百匯酒家,,,11/1/2026,11/1/2026,22.3715329,114.1385931,6/12/2024,825817.4278834405,832325.3703968455,832325.3704000004,825817.4278999995
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"1/F, (PORTION), KWAI FONG TERRACE, KCTL 380, KWAI CHUNG, NEW TERRITORIES",新界葵涌380地段 葵芳閣1樓(部份),Kwai Tsing,葵青區,2291000712,2291000712,91,91,RL,RL,葵芳閣龍寶酒家,葵芳閣龍寶酒家,,,30/6/2025,30/6/2025,22.3558113,114.1285825,7/6/2024,824076.7877637842,831293.8098493104,831293.8097999999,824076.7877999991
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F-3/F, LAI KING RESTAURANT, LAI KING ESTATE, KWAI CHUNG, NEW TERRITORIES",新界葵涌 荔景邨荔景酒樓地下至3樓,Kwai Tsing,葵青區,2291000147,2291000147,91,91,RL,RL,Carnival Restaurant,嘉年華酒家,,,30/6/2025,30/6/2025,22.348409,114.126492,16/5/2024,823257.1634,831078.2088740069,831078.2089,823257.1634
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP NOS. 201-204, 2/F, SHOPPING ARCADE, HANG KING GARDEN, 9 WING FONG ROAD, KWAI CHUNG, NEW TERRITORIES",新界葵涌榮芳路9號 恒景商場2字樓201-204號鋪,Kwai Tsing,葵青區,2291001487,2291001487,91,91,RL,RL,葵涌恒景龍寶酒家,葵涌恒景龍寶酒家,,,23/2/2026,23/2/2026,22.3605556,114.1280556,30/12/2024,824602.1664443195,831239.7078870162,831239.7078999998,824602.1664000005
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"G/F & 1/F, RESTAURANT PODIUM FLOOR, CHEUNG CHING COMMERCIAL CENTRE, CHEUNG CHING ESTATE, TSING YI, NEW TERRITORIES",新界青衣長青邨 長青商場平台地下及1樓,Kwai Tsing,葵青區,2291001414,2291001414,91,91,RL,RL,ELEGANT SEAFOOD RESTAURANT,雅殿海鮮酒家,,,3/7/2025,3/7/2025,22.3497004,114.1068222,11/6/2024,823400.9759,829052.1262,829052.1261999998,823400.9759
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"SHOP NOS 13-14, G/F & LG/F, KAI TIN TOWERS, 51-67C KAI TIN RD, LAM TIN, KOWLOON",九龍藍田啟田道51-67號C 啟田大廈低層地下及地下13-14號舖,Kwun Tong,觀塘區,2251266095,2251266095,51,51,RL,RL,Deluxe Restaurant,百匯酒家,,,11/9/2025,11/9/2025,22.308216,114.234311,3/9/2024,818806.6610487737,842186.1344397445,842186.1343999999,818806.6610000003
Restaurant licences,食肆牌照,General Restaurant Licence,普通食肆,"53A PRAYA RD. CENTRAL, LEI YUE MUN, KOWLOON",九龍鯉魚門海傍道中53A號,Kwun Tong,觀塘區,2251061551,2251061551,51,51,RL,RL,Happiness Restaurant,快樂漁港酒家,,,30/6/2025,30/6/2025,22.2888246,114.2372457,20/6/2024,816659.4833567908,842489.3781513092,842489.3782000002,816659.4834000003
