DATASET_EN,DATASET_TC,NAME_EN,NAME_TC,ADDRESS_EN,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,Title,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,LATITUDE,Latitude,Longitude,NORTHING,EASTING,GeometryEasting,GeometryNorthing
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL NO.M18 (REAR PORTION) IN THE MARKET PLACE,GROUND FLOOR, WING A OF HIN KENG SHOPPING CENTRE, HIN KENG ESTATE, NO.69 CHE KUNG MIU ROAD, SHA TIN, NEW TERRITORIES",新界沙田車公廟路69號顯徑邨顯徑商場A翼地下 街市M18號檔位(後部份),Sha Tin,沙田區,2997809701,2997809701,97,97,FF,FF,新瑞興燒味,新瑞興燒味,,,9/8/2025,9/8/2025,22.3633638,114.1715984,30/7/2024,824912.3289598646,835724.5905188815,835724.5904999999,824912.3289999999
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP M9, G/F, MARKET, LAKE SILVER, 599 SAI SHA ROAD, MA ON SHAN, NEW TERRITORIES",新界馬鞍山西沙路599號銀湖天峰街市地下M9號鋪,Sha Tin,沙田區,2997810176,2997810176,97,97,FF,FF,添寶手撕雞,添寶手撕雞,,,7/4/2025,7/4/2025,22.4287285,114.2438023,26/2/2024,832152.0642312418,843158.1592042663,843158.1591999996,832152.0642000008
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP 12, G/F, 18B CHEVALIER GARDEN SHOPPING CENTRE, MA ON SHAN, SHA TIN, NEW TERRITORIES",新界沙田馬鞍山富安花園商場18B地下12號鋪,Sha Tin,沙田區,2997810185,2997810185,97,97,FF,FF,壽司駅,壽司駅,#G#H,#G#H,7/4/2025,7/4/2025,22.4045675,114.224561,4/12/2024,829475.8145160908,841178.1368107477,841178.1368000004,829475.8145000003
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"ROOM 107, 1/F, HONG KONG INSTITUTE OF BIOTECHNOLOGY, 2 BIOTECHNOLOGY AVENUE, 12 MILES TAI PO ROAD, SHA TIN, NEW TERRITORIES",新界沙田大埔公路十二咪生物科技路二號 香港生物研究院1樓107號室,Sha Tin,沙田區,2997809279,2997809279,97,97,FF,FF,THE HONG KONG INSTITUTE OF BIOTECHNOLOGY LIMITED,香港生物科技研究院有限公司,,,23/3/2026,23/3/2026,22.4214057,114.2135629,5/2/2025,831340.0908314051,840045.2421982101,840045.2422000002,831340.0908000004
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"MAJOR PORTION OF UNIT 601 & UNIT 620,6/F, BLOCK A, WAH SANG INDUSTRIAL BUILDING, 14-18 WONG CHUK YEUNG STREET, FO TAN, SHA TIN, NEW TERRITORIES",新界沙田火炭黃竹洋街14-18號華生工業大廈A座6樓 601(主要部份)及620室,Sha Tin,沙田區,2997809914,2997809914,97,97,FF,FF,Tai Hing,太興,,,8/12/2025,8/12/2025,22.3982213,114.1900137,17/10/2024,828772.3424,837620.9746354104,837620.9746000003,828772.3423999995
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"MARKET STALL NO. 27, G/F, KAM TAI SHOPPING CENTRE, KAM TAI COURT, MA ON SHAN, NEW TERRITORIES",新界馬鞍山錦泰苑錦泰商場地下街市27號鋪,Sha Tin,沙田區,2997809835,2997809835,97,97,FF,FF,MOCHIZUKITEI SUSHI,望月亭外賣壽司,#G#H,#G#H,21/10/2025,21/10/2025,22.4087594,114.2217721,5/11/2024,829939.9197951738,840890.8339841042,840890.8339999998,829939.9198000003
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL NO. 25, KAM TAI MARKET ON GROUND FLOOR, COMMERCIAL / CAR PARK ACCOMMODATION OF KAM TAI SHOPPING CENTRE, KAM TAI COURT, MA ON SHAN, NEW TERRITORIES",新界馬鞍山錦泰苑錦泰商場地下街市25號鋪,Sha Tin,沙田區,2997809826,2997809826,97,97,FF,FF,麥工坊,麥工坊,,,21/10/2025,21/10/2025,22.4087594,114.2217721,15/10/2024,829939.9197951738,840890.8339841042,840890.8339999998,829939.9198000003
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"STALL S-SK55, SHA KOK MARKET, G/F, SHA KOK SHOPPING CENTRE, SHA KOK ESTATE, SHA TIN, NEW TERRITORIES",新界沙田沙角邨沙角商場地下沙角市場S-SK55號鋪,Sha Tin,沙田區,2997809136,2997809136,97,97,FF,FF,川一品,川一品,,,12/2/2026,12/2/2026,22.3787079,114.1950346,24/1/2025,826611.5677531227,838138.2453466143,838138.2452999996,826611.5678000003
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"SHOP NO. SHT 34, MTR SHA TIN STATION, SHA TIN, NEW TERRITORIES",新界沙田港鐵沙田站SHT 34號鋪,Sha Tin,沙田區,2997809154,2997809154,97,97,FF,FF,Kimbap Lab,韓食研究所,,,13/2/2026,13/2/2026,22.382049,114.186856,7/2/2025,826981.4671912388,837295.9411,837295.9411000004,826981.4671999998
Food Licences (except Restaurant Licences),食物業處所牌照(食肆牌照除外),Food Factory Licence,食物製造廠,"PORTION B OF SHOP NO. 5, FOURTH FLOOR, WING WAI HOUSE , SUN TIN WAI ESTATE, NO. 29 SHA TIN TAU ROAD, SHA TIN, NEW TERRITORIES",新界沙田沙田頭路29號新田圍邨榮圍樓4樓5號舖B部份,Sha Tin,沙田區,2997808762,2997808762,97,97,FF,FF,7-ELEVEN FOOD STORE,七.十一便利店,,,5/9/2025,5/9/2025,22.3705681,114.1854576,29/7/2024,825710.1155617045,837152.0020070154,837152.0020000003,825710.1155999992
